Assigned Name,Code,Round number,Effort,Random Draw,Performance,Effort2,Random Draw2,Performance2,Participated1,Participated2,Win1,Win2,Round Payoff,Selected round,Selected Payment,Converted Payment,Beta,Non-Exc,Group id,Group members,Decision Time,Session Code,Action Log,Mini Test,Timeout or not?
Participant 9,0twjkro9,Trial: 1,5.0,-7.33,24.86,,,,1,-,0,-,5.0,6,0.0,0.0,30.0,Exc,1389,9/6--No,19.0,25/08/2021 10:22:01,S:0.1=T9-S:0.4=T9-S:0.5=T9-S:0.6=T9-S:0.7=T9-S:0.8=T10-S:1=T10-S:1.2=T10-S:1.3=T10-S:1.4=T10-S:1.5=T10-S:1.6=T10-S:1.7=T10-S:1.8=T11-S:1.9=T11-S:2=T11-S:2.1=T11-S:2.2=T11-S:2.3=T11-S:2.4=T11-S:2.5=T12-S:2.6=T12-S:2.7=T12-S:2.8=T12-S:2.9=T12-S:3=T12-S:3.1=T12-S:3.2=T12-S:3.3=T13-S:3.4=T13-S:3.5=T13-S:3.6=T13-S:3.7=T13-S:3.8=T13-S:3.9=T13-S:4=T13-S:4.1=T13-S:4.2=T13-S:4.3=T13-S:4.4=T13-S:4.5=T14-S:4.6=T14-S:4.7=T14-S:4.8=T14-S:4.9=T14-S:5=T14-S:5.1=T15-M:5=T18--,-(5)-,--
Participant 10,jnozxjh0,Trial: 1,2.0,15.74,29.6,,,,1,-,1,-,38.0,6,0.0,0.0,30.0,Exc,1386,10/2--Yes,42.0,25/08/2021 10:22:01,S:0.1=T5-S:0.7=T5-S:0.8=T5-S:1=T5-S:1.1=T5-S:1.2=T5-S:1.4=T32-S:2.1=T32-M:2=T41--,-,--
Participant 11,muq6i7yy,Trial: 1,4.1,2.12,30.34,,,,1,-,1,-,35.9,6,0.0,0.0,30.0,Exc,1384,11/5--Yes,24.0,25/08/2021 10:22:01,S:0.1=T5-S:1=T5-S:1.1=T5-S:1.3=T5-S:1.5=T5-S:1.6=T5-S:1.7=T6-S:1.8=T6-S:1.9=T6-S:2=T6-S:2.1=T6-S:2.2=T6-S:2.5=T6-S:2.6=T6-S:2.7=T6-S:2.8=T6-S:2.9=T6-S:3=T6-S:3.1=T6-S:3.2=T7-S:3.5=T7-S:3.6=T7-S:3.7=T7-S:3.8=T7-S:3.9=T7-S:4=T7-S:4.1=T7-S:4.2=T7-S:4.3=T8-S:4.4=T8-S:4.5=T8-S:4.6=T8-S:4.5=T10-S:4.4=T10-S:4.3=T10-S:4.2=T10-S:4.1=T11-S:4.2=T11-S:4.3=T11-S:4.4=T11-S:4.5=T12-S:4.6=T12-S:4.7=T12-S:4.8=T12-S:4.9=T13-S:5=T13-S:4.9=T14-S:4.8=T14-S:4.7=T14-S:4.6=T14-S:4.5=T15-S:4.4=T15-S:4.3=T15-S:4.2=T16-S:4.1=T16-S:4=T16-S:4.1=T16-S:4.2=T16-S:4.1=T17--,-(5)-,--
Participant 12,hhtd3ho4,Trial: 1,8.1,29.59,71.43,,,,1,-,1,-,31.9,6,0.0,0.0,30.0,Exc,1385,12/14--Yes,41.0,25/08/2021 10:22:01,S:0.1=T13-S:0.2=T13-S:0.3=T13-S:0.4=T13-S:0.5=T14-S:0.6=T14-S:0.7=T14-S:0.8=T14-S:1=T14-S:1.1=T14-S:1.3=T14-S:1.4=T14-S:1.5=T14-S:1.6=T14-S:1.7=T14-S:1.8=T14-S:1.9=T14-S:2.1=T14-S:2.2=T14-S:2.4=T14-S:2.7=T14-S:2.9=T14-S:3.1=T14-S:3.3=T14-S:3.5=T14-S:3.7=T15-S:3.8=T15-S:3.9=T15-S:4=T15-S:4.1=T15-S:4.2=T15-S:4.3=T15-S:4.4=T15-S:4.5=T15-S:4.6=T15-S:4.8=T15-S:5.1=T15-S:5.2=T15-S:5.4=T15-S:5.5=T15-S:5.7=T15-S:5.8=T15-S:6.1=T15-S:6.5=T15-S:6.6=T15-S:6.7=T16-S:6.8=T16-S:6.7=T16-S:6.8=T16-S:6.9=T17-S:7=T17-S:7.1=T18-S:7.2=T18-S:7.3=T18-S:7.4=T18-S:7.5=T18-S:7.6=T19-S:7.7=T19-S:7.8=T19-S:7.9=T19-S:8=T19-S:8.1=T19-S:8.2=T19-S:8.3=T19-S:8.4=T19-S:8.3=T20-S:8.2=T21-S:8.1=T21-S:8.2=T23-S:8.3=T23-S:8.4=T23-S:8.5=T23-S:8.6=T23-S:8.7=T23-S:8.8=T23-S:8.9=T24-S:9=T24-S:9.1=T26-S:9=T29-S:8.9=T29-S:8.8=T29-S:8.7=T29-S:8.6=T29-S:8.5=T30-S:8.4=T30-S:8.3=T30-S:8.2=T30-S:8.1=T35--,-,--
Participant 13,zujo8vbc,Trial: 1,6.0,-0.83,35.01,,,,1,-,1,-,34.0,6,0.0,0.0,30.0,Exc,1388,13/7--Yes,17.0,25/08/2021 10:22:01,S:0.1=T5-S:0.4=T5-S:0.7=T5-S:0.8=T5-S:0.9=T5-S:1=T5-S:1.3=T5-S:1.7=T5-S:2=T5-S:2.3=T5-S:2.5=T5-S:2.6=T5-S:2.7=T5-S:2.9=T6-S:3.2=T6-S:3.4=T6-S:3.6=T6-S:3.7=T6-S:3.9=T6-S:4=T6-S:4.2=T6-S:4.3=T6-S:4.7=T6-S:4.9=T6-S:5=T6-S:5.1=T6-S:5.2=T6-S:5.3=T6-S:5.4=T6-S:5.5=T6-S:5.6=T6-S:5.7=T6-S:5.8=T6-S:5.9=T6-S:6=T7--,-,--
Participant 14,n3ivky3r,Trial: 1,7.1,25.59,64.8,,,,1,-,0,-,2.9,6,0.0,0.0,30.0,Exc,1385,14/12--No,37.0,25/08/2021 10:22:01,S:0.1=T11-S:0.2=T11-S:0.3=T11-S:0.6=T11-S:0.7=T11-S:1.1=T11-S:2=T11-S:3.2=T11-S:4.1=T11-S:4.2=T11-S:4.6=T11-S:4.9=T11-S:5.1=T12-S:5.2=T12-S:7.1=T30--,never,--
Participant 1,1k7kbh02,Trial: 2,8.1,-18.67,23.17,,,,1,-,1,-,31.9,6,0.0,0.0,30.0,Exc,1390,1/6--Yes,9.0,25/08/2021 10:22:01,S:7.6=T3-P:7.7=T5-P:7.8=T6-P:7.9=T7-P:8=T7-P:8.1=T8--,-,--
Participant 2,0deusuqv,Trial: 2,8.0,13.42,55.01,,,,1,-,1,-,32.0,6,0.0,0.0,30.0,Exc,1394,2/3--Yes,18.0,25/08/2021 10:22:01,S:0.1=T5-S:1=T5-S:1.8=T5-S:4.2=T5-S:6=T5-S:6.4=T5-S:6.5=T5-S:6.6=T5-S:6.8=T5-S:7.1=T5-S:7.2=T5-S:7.3=T5-S:7.4=T5-S:7.6=T5-S:7.8=T5-S:7.9=T5-S:8=T6--,-,--
Participant 3,wjws83hu,Trial: 2,2.7,0.08,19.95,,,,1,-,0,-,7.3,6,0.0,0.0,30.0,Exc,1394,3/2--No,21.0,25/08/2021 10:22:01,S:0.1=T2-S:0.2=T3-S:0.3=T3-S:0.4=T3-S:0.5=T3-S:0.6=T3-S:0.5=T3-S:0.6=T10-S:0.7=T10-S:0.8=T10-S:0.9=T10-S:1=T10-S:1.1=T10-S:1.2=T10-S:1.3=T11-S:1.4=T11-S:1.5=T12-S:1.6=T12-S:1.7=T12-S:1.8=T16-S:1.9=T16-S:2=T18-S:2.2=T18-S:2.3=T18-S:2.4=T18-S:2.5=T18-S:2.6=T18-S:2.7=T18--,-,--
Participant 4,15nbpmua,Trial: 2,4.0,16.6,44.33,,,,1,-,1,-,36.0,6,0.0,0.0,30.0,Exc,1392,4/5--Yes,14.0,25/08/2021 10:22:01,S:0.1=T3-S:0.3=T3-S:0.5=T3-S:1.3=T3-S:1.4=T3-S:1.5=T4-S:1.7=T4-S:1.8=T4-S:1.9=T4-S:2=T5-S:2.1=T5-S:2.4=T5-S:2.5=T5-S:2.6=T5-S:2.8=T5-S:3.1=T5-S:3.2=T5-S:3.3=T5-S:3.4=T5-S:3.6=T5-S:3.9=T5-S:4.1=T5-S:4=T6-S:3.9=T6-S:4=T6-S:4.1=T7-S:4=T9--,-,--
